aʾa[unmng]V/i	a-a	rr	a·a
la[hang]V/t	la₂-la₂	RR	la·la
la[stretch]V/t	la₂-la₂	RR	la·la
lah[bring]V/t	lah₄-lah₄	RR	lah·lah
lah[bring]V/t	lah₄-lah₄	RR	lah·lah
lah[bring]V/t	lah₅-lah₅	RR	lah·lah
lah[bring]V/t	lah₅-lah₆	RR	lah·lah
lah[dry]V/t	lah-lah	RR	lah·lah
lah[dry]V/t	lah-lah	RR	lah·lah
lal[small]V/i	lal-lal	RR	lal·lal
lal[sweet]V/i	lal-lal	RR	lal·lal
lam[flourish]V/i	lam-lam	RR	lam·lam
lib[absent]V/i	lib₅-lib₅	RR	lib·lib
lib[rich]V/i	li-li	rr	li·li
lu[abundant]V/i	lu-lu	RR	lu·lu
lu[abundant]V/i	lu-lu-lu	RRR	lu·lu·lu
lu[mix]V/t	lu-lu	RR	lu·lu
lu[mix]V/t	lu₂-lu	RR	lu·lu
lu[mix]V/t	lu₂-lu₂	RR	lu·lu
lu[mix]V/t	lu₃-lu	RR	lu·lu
lu[mix]V/t	lu₃-lu₃	RR	lu·lu
lu[mix]V/t	lu₃-lu₃	RR	lu·lu
lug[live]V/i	lug-lug	RR	lug·lug
luh[clean]V/t	luh-luh	RR	luh·luh
luh[clean]V/t	lu₅-lu₅	rr	lu·lu
lul[false]V/i	lul-lul	RR	lul·lul
lum[fruit]V/i	lum-lum	RR	lum·lum
lum[fruit]V/i	lum-lum	RR	lum·lum
ma[burn]V/t	ma₅-ma₅	RR	ma·ma
mah[great]V/i	mah-mah	RR	mah·mah
mah[sick?]V/i	mah-mah	RR	mah·mah
me[be]V/i	me-me	RR	me·me
me[refine]V/t	me-me	RR	me·me
mer[cvve]V/t	mar-mar	rr	mar·mar
mer[cvve]V/t	me-er-me-er	R′R′	me°er·me°er
mir[angry]V/i	mir-mir	RR	mir·mir
mu[crush]V/t	mu₁₁-mu₁₁	RR	mu·mu
mu[crush]V/t	mu₃-mu₃	RR	mu·mu
mu[crush]V/t	mu₃-mu₃	RR	mu·mu
mu[grow]V/i	ma₈-ma₈	rr	ma·ma
mu[grow]V/i	mu-mu	RR	mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mu[grow]V/i	mu₂-mu₂-mu₂	RRR	mu·mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mud[create]V/t	mud-mud	RR	mud·mud
mud[scared]V/i	mud-mud	RR	mud·mud
mur[cvve]V/t	mur-mur	RR	mur·mur
mur[dress]V/i	mu-mu	rr	mu·mu
mur[dress]V/i	mur₁₀-mur₁₀	RR	mur·mur
mur[dress]V/i	mur₁₀-mu₁₀	Rr	mur·mu
mur[dress]V/i	mu₂-mu₂	rr	mu·mu
muš[curdle?]V/i	muš₃-muš₃	RR	muš·muš
naŋ[drink]V/t	na-na	rr	na·na
naŋ[drink]V/t	na₈-na₈	rr	na·na
naŋ[drink]V/t	na₈-na₈	rr	na·na
niŋin[encircle]V/t	ne-ne	rr	ne·ne
niŋin[encircle]V/t	ni-ni	rr	ni·ni
niŋin[encircle]V/t	niŋin-niŋin	RR	niŋin·niŋin
niŋin[encircle]V/t	niŋin₂-niŋin₂	RR	niŋin·niŋin
niŋin[encircle]V/t	niŋin₂-niŋin₂	RR	niŋin·niŋin
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
nim[crawl?]V/i	nim-nim	RR	nim·nim
nim[high]V/i	nim-nim	RR	nim·nim
nir[winnow]V/t	nir-nir	RR	nir·nir
NU[spin]V/t	NI-NI	rr	NI·NI
NU[spin]V/t	NU-NU	RR	NU·NU
nud[lie]V/i	nu₂-nu₂	rr	nu·nu
pad[break]V/t	pad-pad	RR	pad·pad
pad[find]V/t	pad₃-pad₃	RR	pad·pad
pag[enclose]V/t	pag-pag	RR	pag·pag
paŋ[breathe]V/t	pa-aŋ₂-pa-aŋ₂	R′R′	pa°aŋ·pa°aŋ
pel[defile]V/t	bi-bi	rr	bi·bi
pel[defile]V/t	pel₂-pel₂	RR	pel·pel
pel[defile]V/t	pi-il-pi-il	R′R′	pi°il·pi°il
pel[defile]V/t	pi-pi	rr	pi·pi
peš[anoint]V/t	peš₅-peš₅	RR	peš·peš
peš[comb]V/t	peš₅-peš₅	RR	peš·peš
peš[disappear]V/i	peš₅-peš₅	RR	peš·peš
peš[slice]V/t	peš₅-peš₅	RR	peš·peš
peš[thick]V/i	peš-peš	RR	peš·peš
peš[thick]V/i	peš₁₁-peš₁₁	RR	peš·peš
peš[thick]V/i	peš₅-peš₅	RR	peš·peš
ra[cvve]V/t	ra₂-ra₂	RR	ra·ra
ra[pure]V/i	ra₃-ra₃	RR	ra·ra
ra[pure]V/i	ra₃-ra₃	RR	ra·ra
rah[beat]V/t	ra-ra	rr	ra·ra
rah[beat]V/t	ra-ra-ra	rrr	ra·ra·ra
ri[distant]V/i	ri-ri	RR	ri·ri
ri[impose]V/t	ri-ri	RR	ri·ri
ri[impose]V/t	ru-ru	rr	ru·ru
rig[donate]V/t	rig₈-rig₈	RR	rig·rig
sa[equal]V/t	sa-sa	RR	sa·sa
sa[equal]V/t	sa₂-sa₂	RR	sa·sa
