P010285	OIP 099, 351	uncertain (mod. Abu Salabikh)	IM —	AbS-T 0026						ED IIIa
P269648	CDLI Literary 000351, ex. 094	Nippur (mod. Nuffar)	CBS 15086							Old Babylonian
P269650	CDLI Literary 000351, ex. 084	Nippur (mod. Nuffar)	CBS 15088							Old Babylonian
P276569	CDLI Literary 000351, ex. 121	Nippur (mod. Nuffar)	N 1424							Neo-Babylonian
P276672	CDLI Literary 000351, ex. 111	Nippur (mod. Nuffar)	N 1543							Old Babylonian
P276913	CDLI Literary 000351, ex. 112	Nippur (mod. Nuffar)	N 1794							Old Babylonian
P278179	CDLI Literary 000351, ex. 118	Nippur (mod. Nuffar)	N 3122							Old Babylonian
P278276	CDLI Literary 000351, ex. 086 & 000397, ex. 016	Nippur (mod. Nuffar)	N 3224							Old Babylonian
P278322	CDLI Literary 000351, ex. 107	Nippur (mod. Nuffar)	N 3279 + N 3284 + N 5468							Old Babylonian
P278351	CDLI Literary 000350, ex. 052 & 000351, ex. 166	Nippur (mod. Nuffar)	N 3309							Old Babylonian
P278416	CDLI Literary 000351, ex. 109	Nippur (mod. Nuffar)	N 3379							Old Babylonian
P278689	CDLI Literary 000351, ex. 091	Nippur (mod. Nuffar)	Ist Ni 02502 + N 3674							Old Babylonian
P278766	CDLI Literary 000351, ex. 155	Nippur (mod. Nuffar)	N 3765							Old Babylonian
P279001	CDLI Literary 000351, ex. 087	Nippur (mod. Nuffar)	N 4126 + N 4170							Old Babylonian
P279008	CDLI Literary 000351, ex. 085	Nippur (mod. Nuffar)	N 3716 + N 4135							Old Babylonian
P282599	CDLI Literary 000351, ex. 020	Assur (mod. Qalat Sherqat)	VAT 09306	Ass 03196						Middle Assyrian
P282600	CDLI Literary 000351, ex. 021	Assur (mod. Qalat Sherqat)	VAT 09710	Ass 04538						Middle Assyrian
P282603	CDLI Literary 000351, ex. 168	Assur (mod. Qalat Sherqat)	VAT 10565							Middle Assyrian
P282604	CDLI Literary 000351, ex. 169	Assur (mod. Qalat Sherqat)	VAT 08884							Middle Assyrian
P313112	CDLI Literary 000350, ex. 047 & 000351, ex. 165	Nippur (mod. Nuffar)	IM 058821	4N-T0032						Neo-Babylonian
P338470	CDLI Literary 000351, ex. 049	Huzirina (mod. Sultantepe)	AMM —	SU 1952, 203						Neo-Assyrian
P343177	CDLI Literary 000351, ex. 050	Nippur (mod. Nuffar)	Ist Ni 04097							Old Babylonian
P343185	CDLI Literary 000351, ex. 051	Nippur (mod. Nuffar)	Ist Ni 04115							Old Babylonian
P343215	CDLI Literary 000351, ex. 052	Nippur (mod. Nuffar)	Ist Ni 04272							Old Babylonian
P343227	CDLI Literary 000351, ex. 053	Nippur (mod. Nuffar)	Ist Ni 04522							Old Babylonian
P343355	CDLI Literary 000351, ex. 054	Nippur (mod. Nuffar)	Ist Ni 09495							Old Babylonian
P343359	CDLI Literary 000351, ex. 055	Nippur (mod. Nuffar)	Ist Ni 09522							Old Babylonian
P343378	CDLI Literary 000351, ex. 056	Nippur (mod. Nuffar)	Ist Ni 09592							Old Babylonian
P343418	CDLI Literary 000351, ex. 057	Nippur (mod. Nuffar)	Ist Ni 09772							Old Babylonian
P343424	CDLI Literary 000351, ex. 058	Nippur (mod. Nuffar)	Ist Ni 09785							Old Babylonian
P343431	CDLI Literary 000351, ex. 059	Nippur (mod. Nuffar)	Ist Ni 09919							Old Babylonian
P343536	CDLI Literary 000351, ex. 060	Nippur (mod. Nuffar)	Ist Ni 09929							Old Babylonian
P343590	CDLI Literary 000351, ex. 061	Nippur (mod. Nuffar)	Ist Ni 09452							Old Babylonian
P343621	CDLI Literary 000351, ex. 062	Nippur (mod. Nuffar)	Ist Ni 04290							Old Babylonian
P343633	CDLI Literary 000351, ex. 063	Nippur (mod. Nuffar)	Ist Ni 09723							Old Babylonian
P343642	CDLI Literary 000351, ex. 064	Nippur (mod. Nuffar)	Ist Ni 04138							Old Babylonian
P343643	CDLI Literary 000351, ex. 065	Nippur (mod. Nuffar)	Ist Ni 04395							Old Babylonian
P343644	CDLI Literary 000351, ex. 066	Nippur (mod. Nuffar)	Ist Ni 04419							Old Babylonian
P343645	CDLI Literary 000351, ex. 068	Nippur (mod. Nuffar)	Ist Ni 04366							Old Babylonian
P343646	CDLI Literary 000350, ex. 014 & 000351, ex. 164	Nippur (mod. Nuffar)	Ist Ni 13166							Old Babylonian
P343647	CDLI Literary 000351, ex. 070	Nippur (mod. Nuffar)	Ist Ni 04195 + Ist Ni 09678 + Ist Ni 09727							Old Babylonian
P343772	CDLI Literary 000351, ex. 072	Nippur (mod. Nuffar)	Ist Ni 09631							Old Babylonian
P345084	CDLI Literary 000351, ex. 016	Nippur (mod. Nuffar)	Ist Ni 02375							Old Babylonian
P345085	CDLI Literary 000351, ex. 017	Nippur (mod. Nuffar)	Ist Ni 02371							Old Babylonian
P345105	CDLI Literary 000351, ex. 018	Nippur (mod. Nuffar)	Ist Ni 02374							Old Babylonian
P345137	CDLI Literary 000351, ex. 035	Nippur (mod. Nuffar)	Ist Ni 01153							Old Babylonian
P345138	CDLI Literary 000351, ex. 036	Nippur (mod. Nuffar)	Ist Ni 02767							Old Babylonian
P345139	CDLI Literary 000351, ex. 037	Nippur (mod. Nuffar)	Ist Ni 02743							Old Babylonian
P345140	CDLI Literary 000351, ex. 038	Nippur (mod. Nuffar)	Ist Ni 02339							Old Babylonian
