FSB 55	ITT 2/1, 10365	Ur III	Tello — Girsu	-	L. 1036, 05.05-05.15; F2-F5	PIHANS 65, 295-296 / PIHANS 65, 282	Zylinder	gegen eine Schlange	Lafont/Yildiz 1989, 193
FSB 56A	DME 028A	FD IIIb	Tell Mardich – Ebla	TM.75.G 1619 IX 1-VIII 5	INM -	ARET V 8 IX 1-VIII 5 / ARET V Taf. XLVIII 8	7.8x7.5x2.2	Geburt (?)	Krebernik 1984, 118-120
FSB 56B	DME 028B	FD IIIb	Tell Mardich – Ebla	TM.75.G 4743 + 4715 + 4744 + 4751 I’ 1-II’ 3	INM -	ARET V 17 I’ 1-II’ 3 / ARET Taf. LI 17	9.0x8.2 + nx3.0	Geburt (?)	Krebernik 1984, 118-120
FSB 57A	DME 013A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 Rs. VI 1 — VII 5	SF 54 VI 1-VIII 4; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	Geburt	Krebernik 1984, 36-47
FSB 57B	DME 013B	FD IIIa	Fāra-Šuruppak	-	TSŠ 170 IV 6-VII 3	unpublizierte Kopie von R. Biggs	-	Geburt	Krebernik 1984, 36-47
FSB 58	DME 070	Ur III	Herkunft unbekannt	-	AUAM 73.1425 III 3-IV 14	ASJ 2 S.159-160 / ASJ 2 S.161-167.	-	Geburt	Sigrist 1980, 157-158.
FSB 59	DME 064	Ur III	Herkunft unbekannt	-	VAT 6004	VS 10 189 / http://www.cdli.ucla.edu/dl/photo/P142045.	-	Geburt	Finkel 1980, 45-46.
FSB 60	DME 002	FD IIIa	Fāra-Šuruppak	-	VAT 12524 IV’ 6-V’ 7	SF 46 IV’ 6-V’ 7; BFE: 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	Fruchtbarkeit (Viehzucht?)	Krebernik 1984, 82-84.
FSB 61A	DME 008A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 I 1-9	SF 54 I 1-9; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1984 :8-12. – Cavigneaux 1995b.
FSB 61B	DME 008B	FD IIIb	Tell Mardich — Ebla	TM.75.G 1619 I 1-II 5	INM -	ARET 5 8 I 1-II 5 / ARET 5 Taf. XLVIII 8	7.8x7.5x2.2	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1984 :8-12. – Cavigneaux 1995b.
FSB 61C	DME 008C	FD IIIb	Tell Mardich — Ebla	TM.75.G 1722 I 1-III 1	INM -	ARET 5 10 I 1-III 1 / ARET 5 Taf. XLIX 10	6.6x6.3x2.0	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1984 :8-12.
FSB 62	DME 004	FD IIIa	Fāra-Šuruppak	-	VAT 12524 VI’ 5-VII’ 3	SF 46 VI’ 5-VII’ 3; BFE 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1984, 88-89. – Cavigneaux 1995b, 88.
FSB 63A	DME 024A	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 Vs. IX 4- Rs. X 4	INM -	ARET V 19 Vs. IX 4- Rs. X 4 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1996b, 14-16
FSB 63B	DME 024B	FD IIIb	Tell Mardich – Ebla	TM.75.G 1601 Vs. I 1-II 3	INM -	VO X 13 Vs. I 1-II 3 / VO X Tav 1	-	Fruchtbarkeit (Heilige Hochzeit?)	Krebernik 1996b, 14-16
FSB 64	DME 057	Ur III	Nufar-Nippur	-	CBS 8371	PBS 1/2, 130; Or. 54, 218	-	Fruchtbarkeit (Heilige Hochzeit?)	Cavigneaux 1995b, 75-99
FSB 65	DME 027	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 Rs. XV 8-XVII 5	INM -	ARET V 19 XV 8-XVII 5 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen eine Schlange	Krebernik 1984, 180-183
FSB 66A	DME 010A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 III 1-11	SF 54 III 1-11; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Schlange und einen Skorpion	Krebernik 1984:20-24.
FSB 66B	DME 010B	FD IIIa	Fāra-Šuruppak	-	TSŠ 170 II 1’-3’	unpublizierte Kopie von R. Biggs	-	gegen eine Schlange und einen Skorpion	Krebernik 1984:20-24.
FSB 67	CUSAS 13, 193	aAk	unbekannt	-	CUNES 49-14-022	CUSAS 13 193; Pl. XXXV	5.7x3.7x1.5	gegen Schlangenbiss	Maiocchi 2009, 227-228
FSB 68	DME 067	Ur III	Nippur (?)	-	MLC 1093	RT 28 (1906) 214 [Brummer]; YOS 11 37.	5.0x4.5x2.0	gegen einen Skorpion	Cavigneaux 1994, 1576
FSB 69	AMD I 247 Fig. 10	Ur III	Nufar-Nippur	6N-T 47	IM 61749	AMD I 247 Fig. 10	-	gegen einen Skorpion	Finkel 1999, 234-235
FSB 70	Fs Sigrist 24	Ur III	Tell Jokha — Umma	-	BM 111089 (1914.4-4.1155)	Fs Sigrist 24	5.9x4.6x2.2	gegen Skorpionenstich	Al-Rawi 2008:21-24
FSB 71A	OBC 14, 169A	FD IIIa	Fāra — Šuruppak	-	VAT 12639 02.02-03.03	SF 30 02.02-03.03; OBC 14, 169 / http://www.cdli.ucla.edu/dl/photo/P010610	-	Reinheit (Rohr als Purifikator)	Krebernik 2003, 168-169
FSB 71B	OBC 14, 169B	FD IIIa	Fāra — Šuruppak	-	VAT 12749	SF 50*; OBC 14, 169 / http://www.cdli.ucla.edu/dl/photo/P010639	-	Reinheit (Rohr als Purifikator)	Krebernik 2003, 168-169
